nb_nodes,inf_times,inf_nb_visits,supr_times,supr_nb_visits,med_times,med_nb_visits
0,0.015800952911376953,0,0.00692296028137207,0,0.006860971450805664,0
1,0.00999307632446289,1,0.009060859680175781,1,0.009134054183959961,1
2,0.01073908805847168,2,0.010879993438720703,2,0.012220144271850586,2
3,0.012517929077148438,3,0.013849973678588867,3,0.012323141098022461,3
4,0.015206098556518555,3,0.014999866485595703,4,0.015367984771728516,3
5,0.01603102684020996,5,0.016422033309936523,5,0.019082069396972656,5
6,0.017737150192260742,6,0.01768016815185547,6,0.020079851150512695,6
7,0.01969599723815918,7,0.019402027130126953,7,0.025270938873291016,7
8,0.0205078125,8,0.019989967346191406,8,0.023324966430664062,8
9,0.022078990936279297,9,0.0222170352935791,9,0.025079965591430664,9
