nb_nodes,nb_visits,time
0,0,1.1920928955078125e-06
100,4912,1.752058982849121
200,19645,12.973376989364624
300,44172,44.99931597709656
400,78341,142.04017186164856
500,122276,265.74227809906006
600,175768,457.9642381668091
700,239573,771.5101079940796
800,311987,1173.5655570030212
900,394889,1811.7910039424896
1000,489223,2484.673786878586
1100,590442,3441.1525270938873
1200,702995,4479.646306991577
1300,823409,6024.867884159088
1400,955708,7639.1724100112915
1500,1096542,9388.92425608635
1600,1249176,11142.775362968445
1700,1412024,13513.849529981613
1800,1580154,16258.379050016403
1900,1760566,19599.00841999054
2000,1949455,23575.053749084473
2100,2151203,29563.674763202667
